3926,731
574,1062
2512,2730
4087,916
4094,1021
855,770
891,584
4159,502
466,801
4045,339
3760,437
515,782
3949,432
2206,2408
1139,910
695,1175
1874,2377
4041,573
2890,2732
2244,2378
3924,1074
2275,2134
4436,821
3910,1186
4031,1126
3783,778
1121,1025
4067,478
2500,2028
725,744
863,493
552,863
861,1064
3846,1265
2076,1929
2181,2197
3702,1067
583,790
2100,2247
918,508
4214,547
2233,1983
3993,460
2020,2835
3575,952
4469,803
2483,1982
2825,2237
2063,2453
1093,1049
2394,2411
4087,593
2647,2771
4355,790
1922,2721
665,445
2385,1933
4357,1071
4245,981
2404,2901
4248,1107
2853,2036
4068,697
889,994
539,985
633,1022
1955,2314
2349,2869
2501,2490
2578,2076
3813,614
692,676
4330,683
3722,643
995,1145
4221,1216
1858,2647
2764,2607
2165,2522
1989,2802
4124,1003
2817,2773
4290,648
2002,2145
2483,1986
3999,876
4156,1023
2294,2193
2542,2441
2293,2304
3953,1101
3622,998
4077,714
562,909
2622,2544
2157,1869
2345,2738
555,742
760,688
414,896
479,859
3931,728
4167,455
2448,2261
2441,2734
2871,2036
4019,1010
1898,2684
2949,2531
2034,2609
3737,796
1805,2428
2101,2794
634,1071
4406,523
4377,610
4239,765
3593,733
3897,830
528,835
3864,641
2905,2123
887,638
3609,941
1015,1076
704,465
2870,2749
3515,883
2311,2251
3786,429
3661,607
4431,734
3999,1120
846,438
2309,2587
4236,739
2281,2130
3957,1287
1998,2624
862,856
4334,765
2679,2535
2681,2071
2416,2826
1071,848
4328,676
4347,1108
2640,2781
4230,690
3890,1010
646,1018
2441,2668
2072,2456
2116,1957
742,653
4184,1217
3816,792
2002,2094
4396,872
4146,1060
4439,690
4271,1134
784,455
4451,613
2319,1994
4396,1103
3870,1044
2774,2545
3877,477
2219,2868
4213,1009
2341,2682
3629,1004
783,722
2554,2265
2788,2723
4148,322
2328,1936
2681,2760
3544,695
3978,862
3815,785
4348,861
2473,2703
3750,470
3885,925
728,1142
4191,458
1166,812
3833,454
1057,950
2478,2431
2204,2289
3757,892
1061,934
848,414
2429,2432
3510,840
448,723
736,773
1026,679
2653,2855
2859,2671
2248,2033
2924,2397
2256,1919
2506,2317
2388,2426
3731,934
867,1071
2198,2747
1053,1013
2383,2339
2582,2462
2152,2745
535,857
580,1085
2684,2183
4218,615
3798,573
2402,2046
3967,474
2182,1948
631,592
3815,509
1086,689
4000,692
2592,2560
1077,1056
3983,822
2125,2742
2704,2420
2373,2224
2157,2361
2617,2773
2653,2162
3840,922
4374,812
494,721
899,1150
2923,2143
2564,2517
2976,2457
4264,771
4177,1117
2397,2614
2322,2429
455,928
4254,999
3518,699
2295,1912
743,1011
4244,786
4334,717
801,888
2278,1887
1954,2509
848,1132
1968,2715
2811,2832
1827,2353
3805,950
3539,631
546,614
4077,1034
674,1011
2505,2820
549,682
2005,2146
732,1026
2608,2530
4216,943
2508,2103
2035,2061
3918,355
1009,742
4459,726
2040,2306
688,458
788,855
3665,639
2787,2165
2104,2110
3994,1225
4265,1211
1029,490
883,800
2531,2743
1957,2184
2328,2418
515,825
2587,2665
4157,1153
3824,996
2495,2279
2345,2882
3530,889
4459,986
2156,1862
521,734
2371,2768
3963,802
654,491
2681,2536
2405,2973
735,542
2193,2943
2040,2154
2401,2316
3820,833
2795,2432
637,763
2139,1920
948,895
769,1089
3842,937
1867,2355
1839,2243
502,850
984,571
867,1189
1910,2431
936,733
2148,2735
889,1130
2673,1953
4307,479
4163,686
3682,539
2449,1925
2505,1920
936,691
4209,1145
3810,608
3895,816
2037,2803
680,705
4427,760
4033,1122
2891,2434
2012,2850
3921,614
2686,1988
3841,700
1060,619
4186,860
3588,722
3526,853
1127,796
665,766
2255,2684
552,657
549,777
3845,1028
3736,482
2043,2407
2051,2732
2592,2841
3801,715
692,899
3919,573
2186,2654
543,783
2204,2710
581,825
3716,437
3794,401
3934,506
2955,2349
4148,471
989,556
2536,2662
664,456
2112,2384
1907,2485
1045,1046
938,711
2330,2224
1822,2324
3671,1144
1067,978
3783,486
2218,2454
777,443
2628,2105
4028,507
4023,510
2510,2673
2964,2598
3967,680
3592,942
2490,2780
2181,2346
4464,749
2498,2556
3989,1002
789,752
971,619
3576,584
499,537
638,918
2335,2058
767,671
3707,437
2254,1912
721,461
2831,2408
894,567
1921,2116
4167,634
2073,2638
2609,2887
2403,2316
2213,2363
519,515
2418,2573
887,630
3539,611
3710,1133
4157,1252
2934,2580
965,1142
2025,2783
2377,2902
2320,2499
4447,798
2838,2246
2583,2688
2215,2010
937,559
3957,395
859,1167
665,526
544,590
2604,2694
975,584
3975,1082
2539,2288
651,525
778,495
4390,876
2099,1975
3711,548
3561,1008
934,577
4454,747
3910,645
4232,1141
4288,575
2731,2168
2873,2032
714,815
2367,2331
1123,620
2857,2682
3667,661
4085,445
3917,594
2928,2218
3597,966
856,919
1814,2439
2131,2014
982,759
4293,1144
2222,2469
2013,2001
568,493
2748,2445
1871,2637
768,1089
3889,700
4091,452
4442,697
4179,1068
2610,2215
2603,2429
2575,2678
2342,2364
2537,2724
2292,2616
1028,580
2301,2351
2068,2494
2117,2037
4113,1105
3737,750
2290,2786
4473,793
1013,471
898,801
3997,424
4260,522
3751,492
2695,2657
612,576
4344,882
1086,636
1951,2002
1875,2304
2393,2847
1848,2520
4302,726
4252,487
2127,2063
2248,2158
610,609
3792,650
822,1100
3607,491
956,763
4337,681
2068,2582
775,806
3660,1128
2113,2207
864,938
3905,522
510,834
3749,1064
2720,2166
2398,1953
684,1090
2479,2616
3911,1015
3879,618
903,487
3574,751
3907,523
4116,1071
4206,648
2021,1990
776,1176
2624,2816
2446,2970
2746,2296
2394,2691
2653,2143
3951,950
617,849
702,685
3659,840
2557,2759
928,616
2086,2114
2848,2691
909,788
2765,2603
3920,1088
2622,1915
2192,2775
1128,765
2079,2656
4399,925
3985,1251
1953,2177
2245,2370
510,1012
2451,2973
461,777
3845,1113
2524,2650
2716,2343
2094,2806
4292,853
4045,903
4198,586
923,1138
3681,1003
3768,1196
4173,1266
3694,483
967,807
4281,1007
832,1134
2492,2115
822,1155
3734,600
2153,2652
2926,2482
2192,2041
4158,1082
4052,1066
3936,392
4229,721
2592,2401
680,738
852,987
638,857
2705,2411
3962,467
2217,1993
665,866
3837,1164
2835,2678
930,800
4039,696
2135,2511
2515,2210
2583,2526
709,1181
4179,1107
2420,2435
1033,641
4308,1064
1110,587
4303,584
2197,2769
4347,950
515,526
2069,1900
4132,1055
1877,2358
2155,2804
1046,721
2130,1961
4020,617
2842,2325
3720,626
2000,2174
958,713
2761,2246
3963,1071
1175,723
2557,2910
2637,2397
2443,2428
4175,726
3896,1055
2468,2568
4200,913
2662,2773
657,759
2524,2226
3691,632
2790,2444
4021,1288
660,620
1004,1001
523,890
1126,936
1192,723
2652,2704
625,715
4077,1168
4157,1154
4038,1182
3672,842
847,1192
4026,636
780,812
777,878
2666,2852
3833,488
2709,2610
2255,2005
4007,802
4480,929
2747,2147
2146,2514
988,479
878,1031
3533,940
2059,2148
2259,2110
4021,899
844,758
2197,2202
2254,2292
2980,2310
593,722
706,1133
2488,2741
3866,1128
4052,378
4016,595
2646,2913
747,588
2634,2250
2036,2051
3826,1023
4101,350
2224,2317
2839,2646
2222,1945
2380,2503
4238,526
3825,1069
2851,2300
4073,1195
4153,1090
2136,2547
1011,837
455,997
685,1136
2707,2869
2820,2070
831,1185
